PermitNum,StatusCurrent,AppliedDate,AppliedYear,IssuedDate,CompletedDate,CompletedYear,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,WorkClassGroup,WorkClassMapped,Description,ApplicantName,ContractorIfNoApplicant,ContractorName,HousingUnits,EstProjectCost,TotalSqFt,OriginalAddress,CommunityCode,CommunityName,Latitude,Longitude,LocationCount,LocationTypes,LocationAddresses,LocationsWKT,LocationsGeoJSON,Point,LocationsGeoJSON2,Point3,Assessed Value,Address Without Unit Number,Cluster_ID
BP2023-01809,Completed,2023-02-14,2023,2023-04-05,2023-11-27,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"A new, three storey, 10 unit stacked apartment, Part 9, Group C occupancy",RICK BALBI ARCHITECT,,,10,"$1,444,908",,#406 5030 84 AV NE,SAD,SADDLE RIDGE,51.12897805,-113.9623052,12,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,5030 84 AV NE;#400 5030 84 AV NE;#404 5030 84 AV NE;#406 5030 84 AV NE;#408 5030 84 AV NE;#403 5030 84 AV NE;#402 5030 84 AV NE;#405 5030 84 AV NE;#409 5030 84 AV NE;#410 5030 84 AV NE;#407 5030 84 AV NE;#401 5030 84 AV NE,"MULTIPOINT (-113.96230519363854 51.12897805158412,-113.96243831574255 51.129612140081115,-113.96253274337705 51.12956880452853,-113.96240202763582 51.129559053809466,-113.96236187297558 51.12957004416709,-113.96255436705809 51.12955910268335,-113.96257493995206 51.129559109268385,-113.96242363558264 51.129568769524305,-113.96225173653352 51.129570008671465,-113.96223012915014 51.12955964567367,-113.96238349879617 51.12955775334873,-113.96259449012253 51.12956947154452)","{""type"":""MultiPoint"",""coordinates"":[[-113.9623052,51.1289781],[-113.9624383,51.1296121],[-113.9625327,51.1295688],[-113.962402,51.1295591],[-113.9623619,51.12957],[-113.9625544,51.1295591],[-113.9625749,51.1295591],[-113.9624236,51.1295688],[-113.9622517,51.12957],[-113.9622301,51.1295596],[-113.9623835,51.1295578],[-113.9625945,51.1295695]]}",POINT (-113.96230519363854 51.12897805158412),"{""type"":""MultiPoint"",""coordinates"":[[-114.1203947,51.0432506],[-114.1205863,51.0428072],[-114.1205141,51.0428939],[-114.120651,51.0427235],[-114.1205502,51.0428539],[-114.1204795,51.0429377],[-114.1206179,51.0427701]]}",POINT (-114.12039467179325 51.043250572038495),a,5030 84 AV NE,0
BP2023-01566,Completed,2023-02-08,2023,2023-04-05,2023-11-27,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"A new, three storey, 4 unit stacked apartment, Part 9, Group C occupancy",RICK BALBI ARCHITECT,,,4,"$579,792",,#303 5030 84 AV NE,SAD,SADDLE RIDGE,51.12897805,-113.9623052,6,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite,5030 84 AV NE;#300 5030 84 AV NE;#301 5030 84 AV NE;#303 5030 84 AV NE;#304 5030 84 AV NE;#302 5030 84 AV NE,"MULTIPOINT (-113.96230519363854 51.12897805158412,-113.96157863375201 51.129274112468664,-113.96164573856687 51.12925634407049,-113.96166527606256 51.1292816112597,-113.96164570584224 51.12929585336376,-113.96166425761251 51.12926930415973)","{""type"":""MultiPoint"",""coordinates"":[[-113.9623052,51.1289781],[-113.9615786,51.1292741],[-113.9616457,51.1292563],[-113.9616653,51.1292816],[-113.9616457,51.1292959],[-113.9616643,51.1292693]]}",POINT (-113.96230519363854 51.12897805158412),"{""type"":""MultiPoint"",""coordinates"":[[-114.0223164,50.8569233],[-114.021991,50.8569638],[-114.0220774,50.8569503],[-114.0221559,50.8569413],[-114.0218896,50.8569773],[-114.0222308,50.8569278],[-114.0222015,50.8568884],[-114.0218858,50.8569365],[-114.0219707,50.8569232],[-114.0223029,50.8568789],[-114.0221353,50.8568994],[-114.0220594,50.8569089]]}",POINT (-114.02231640897065 50.85692327628303),a,5030 84 AV NE,0
BP2022-18919,Completed,2022-11-16,2022,2023-03-16,2023-11-27,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"A new, three storey, 16 unit stacked apartment, Part 9, Group C occupancy",RICK BALBI ARCHITECT,,PROFESSIONAL CUSTOM HOMES,16,"$2,308,500",,#211 5030 84 AV NE,SAD,SADDLE RIDGE,51.12897805,-113.9623052,18,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,5030 84 AV NE;#200 5030 84 AV NE;#206 5030 84 AV NE;#213 5030 84 AV NE;#203 5030 84 AV NE;#214 5030 84 AV NE;#201 5030 84 AV NE;#202 5030 84 AV NE;#216 5030 84 AV NE;#211 5030 84 AV NE;#205 5030 84 AV NE;#215 5030 84 AV NE;#210 5030 84 AV NE;#207 5030 84 AV NE;#212 5030 84 AV NE;#209 5030 84 AV NE;#204 5030 84 AV NE;#208 5030 84 AV NE,"MULTIPOINT (-113.96230519363854 51.12897805158412,-113.96190958046785 51.12903518717973,-113.96200715670207 51.12908872503557,-113.96168397518615 51.129076960088064,-113.96215949669202 51.12908618541851,-113.96166338017478 51.129086671099905,-113.96219965045961 51.12907583339102,-113.96218008260512 51.12908748658007,-113.96162324345816 51.12907629292429,-113.96181674507477 51.12908866302515,-113.96202878293003 51.12907577804093,-113.96164279320435 51.129086664349884,-113.9618342466769 51.129088021486346,-113.96198864181702 51.12908807176812,-113.96179411098882 51.12907634886686,-113.96185587188654 51.12907636902615,-113.96213994683028 51.12907581407926,-113.96196703525636 51.129077052480085)","{""type"":""MultiPoint"",""coordinates"":[[-113.9623052,51.1289781],[-113.9619096,51.1290352],[-113.9620072,51.1290887],[-113.961684,51.129077],[-113.9621595,51.1290862],[-113.9616634,51.1290867],[-113.9621997,51.1290758],[-113.9621801,51.1290875],[-113.9616232,51.1290763],[-113.9618167,51.1290887],[-113.9620288,51.1290758],[-113.9616428,51.1290867],[-113.9618342,51.129088],[-113.9619886,51.1290881],[-113.9617941,51.1290763],[-113.9618559,51.1290764],[-113.9621399,51.1290758],[-113.961967,51.1290771]]}",POINT (-113.96230519363854 51.12897805158412),"{""type"":""MultiPoint"",""coordinates"":[[-113.9537954,51.1360094],[-113.9538199,51.1361385],[-113.9539382,51.1361378],[-113.9542781,51.1361418],[-113.9541197,51.1361398],[-113.9541868,51.1361208],[-113.9541668,51.1361406],[-113.9539183,51.1361188],[-113.9539872,51.136139],[-113.9542086,51.1361204],[-113.9542292,51.136141],[-113.9538759,51.1361397],[-113.9538959,51.1361188]]}",POINT (-113.95379539049095 51.136009359654636),a,5030 84 AV NE,0
BP2022-12290,Completed,2022-07-15,2022,2022-09-12,2023-05-12,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,5 Plex Rowhouse,MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),5,"$1,149,710",,11 CARRINGHAM WY NW,CAR,CARRINGTON,51.18720527,-114.0913849,5,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1383 148 AV NW;1391 148 AV NW;1387 148 AV NW;1395 148 AV NW;11 CARRINGHAM WY NW,"MULTIPOINT (-114.0913848983151 51.187205268396504,-114.09156972717074 51.18720512389555,-114.09148321336248 51.18720519156921,-114.09165625528318 51.187205056146716,-114.09187047645015 51.18712398250511)","{""type"":""MultiPoint"",""coordinates"":[[-114.0913849,51.1872053],[-114.0915697,51.1872051],[-114.0914832,51.1872052],[-114.0916563,51.1872051],[-114.0918705,51.187124]]}",POINT (-114.0913848983151 51.187205268396504),"{""type"":""MultiPoint"",""coordinates"":[[-113.9354518,51.0426879],[-113.9359199,51.040691],[-113.935736,51.0406874],[-113.9357964,51.0406868],[-113.9358567,51.0406886],[-113.9356738,51.0406879]]}",POINT (-113.93545182538885 51.04268794942332),a,CARRINGHAM WY NW,1
BP2022-15370,Completed,2022-09-08,2022,2022-09-19,2023-05-26,2023,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"New 5 Unit Rowhouse (Blk 22, Lots 6-10)",MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),5,"$1,033,491",,1379 148 AV NW,CAR,CARRINGTON,51.18720535,-114.0912748,5,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1379 148 AV NW;1371 148 AV NW;1367 148 AV NW;1363 148 AV NW;1375 148 AV NW,"MULTIPOINT (-114.09127478202842 51.18720535434767,-114.09108995317034 51.18720549838271,-114.09100343936024 51.18720556570163,-114.09090505278807 51.18720564218136,-114.09117646698012 51.187205430999825)","{""type"":""MultiPoint"",""coordinates"":[[-114.0912748,51.1872054],[-114.09109,51.1872055],[-114.0910034,51.1872056],[-114.0909051,51.1872056],[-114.0911765,51.1872054]]}",POINT (-114.09127478202842 51.18720535434767),,,,148 AV NW,1
BP2023-02790,Completed,2023-03-07,2023,2023-03-29,2023-12-15,2023,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"A new, two storey, 4 unit rowhouse, Part 9, Group C occupancy",MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),4,"$831,983",,1849 CARRINGTON BV NW,CAR,CARRINGTON,51.18596154,-114.0896826,4,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1837 CARRINGTON BV NW;1849 CARRINGTON BV NW;1841 CARRINGTON BV NW;1845 CARRINGTON BV NW,"MULTIPOINT (-114.0896825599782 51.185961537594586,-114.08957306938856 51.186127927528396,-114.08964455277383 51.18601999858061,-114.08961109107616 51.18606946655563)","{""type"":""MultiPoint"",""coordinates"":[[-114.0896826,51.1859615],[-114.0895731,51.1861279],[-114.0896446,51.18602],[-114.0896111,51.1860695]]}",POINT (-114.0896825599782 51.185961537594586),"{""type"":""MultiPoint"",""coordinates"":[[-113.9412903,51.1570843],[-113.941194,51.1570798],[-113.9410149,51.1570617],[-113.9411072,51.1570707]]}",POINT (-113.94129028630758 51.157084308258085),a,CARRINGTON BV NW,1
BP2022-17898,Completed,2022-10-24,2022,2022-11-14,2023-11-28,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"New 4-Unit Rowhouse (Blk 22, Lots 29 - 32)",MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),4,"$834,684",,1881 CARRINGTON BV NW,CAR,CARRINGTON,51.18647421,-114.0893332,4,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1873 CARRINGTON BV NW;1877 CARRINGTON BV NW;1869 CARRINGTON BV NW;1881 CARRINGTON BV NW,"MULTIPOINT (-114.08933322763161 51.18647420727676,-114.08930208257239 51.186523673390624,-114.08937460580357 51.18642023857996,-114.08926511864192 51.18658213345124)","{""type"":""MultiPoint"",""coordinates"":[[-114.0893332,51.1864742],[-114.0893021,51.1865237],[-114.0893746,51.1864202],[-114.0892651,51.1865821]]}",POINT (-114.08933322763161 51.18647420727676),"{""type"":""MultiPoint"",""coordinates"":[[-114.0890354,51.178667],[-114.0888543,51.1786537],[-114.0889491,51.1786581],[-114.0892067,51.1786939],[-114.0891208,51.178676],[-114.0892315,51.1785937]]}",POINT (-114.0890354184077 51.17866703419596),a,CARRINGTON BV NW,1
BP2022-15551,Completed,2022-09-12,2022,2022-09-22,2023-07-31,2023,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"New 4 Unit Rowhouse (Blk 22, Lots 15-18)",MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),4,"$834,684",,1343 148 AV NW,CAR,CARRINGTON,51.18715684,-114.0900812,4,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1331 148 AV NW;1343 148 AV NW;1339 148 AV NW;1335 148 AV NW,"MULTIPOINT (-114.0900811583825 51.18715683704609,-114.09037262275116 51.18718358083685,-114.09026931221123 51.18717467106984,-114.0901838482196 51.18717024221526)","{""type"":""MultiPoint"",""coordinates"":[[-114.0900812,51.1871568],[-114.0903726,51.1871836],[-114.0902693,51.1871747],[-114.0901838,51.1871702]]}",POINT (-114.0900811583825 51.18715683704609),"{""type"":""MultiPoint"",""coordinates"":[[-114.0634584,50.8592186],[-114.064533,50.8597575],[-114.0645354,50.8598681],[-114.0645356,50.859978],[-114.0645329,50.8596491],[-114.0645342,50.8598125],[-114.0645339,50.8595927],[-114.0645355,50.8599224],[-114.0645341,50.8597033]]}",POINT (-114.06345842445896 50.859218594459186),a,148 AV NW,1
BP2022-14975,Completed,2022-08-31,2022,2022-09-15,2023-07-20,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"New 4 Unit Rowhouse (Blk 22, Lots 11-14)",MATTAMY HOMES CALGARY,,MATTAMY HOMES CALGARY,4,"$834,684",,1359 148 AV NW,CAR,CARRINGTON,51.18719248,-114.0904945,4,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1347 148 AV NW;1359 148 AV NW;1351 148 AV NW;1355 148 AV NW,"MULTIPOINT (-114.09049450060854 51.187192476153974,-114.0907892862088 51.18720573206531,-114.09059598574395 51.18719689237794,-114.09068542648359 51.18720131784942)","{""type"":""MultiPoint"",""coordinates"":[[-114.0904945,51.1871925],[-114.0907893,51.1872057],[-114.090596,51.1871969],[-114.0906854,51.1872013]]}",POINT (-114.09049450060854 51.187192476153974),,,,148 AV NW,1
BP2022-18555,Completed,2022-11-07,2022,2022-11-24,2023-11-10,2023,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"New 6-Unit Rowhouse (Blk 22, Lots 23-28)",MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),6,"$1,316,907",,1885 CARRINGTON BV NW,CAR,CARRINGTON,51.18685637,-114.08919,6,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1893 CARRINGTON BV NW;1885 CARRINGTON BV NW;1311 148 AV NW;1303 148 AV NW;1889 CARRINGTON BV NW;1307 148 AV NW,"MULTIPOINT (-114.0891900207809 51.186856370953265,-114.08922422397212 51.186649586013,-114.08955817705886 51.1870718381139,-114.0892464373166 51.18698218115305,-114.08918642243572 51.186748499507424,-114.089416965064 51.187035988052166)","{""type"":""MultiPoint"",""coordinates"":[[-114.08919,51.1868564],[-114.0892242,51.1866496],[-114.0895582,51.1870718],[-114.0892464,51.1869822],[-114.0891864,51.1867485],[-114.089417,51.187036]]}",POINT (-114.0891900207809 51.186856370953265),,,,CARRINGTON BV NW,1
BP2023-01717,Completed,2023-02-13,2023,2023-03-02,2023-12-07,2023,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"New 4-plex Rowhouse (Blk 22, Lots 33-36)",MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),4,"$834,684",,1861 CARRINGTON BV NW,CAR,CARRINGTON,51.18619089,-114.0895305,8,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building;Building,1853 CARRINGTON BV NW;1857 CARRINGTON BV NW;1861 CARRINGTON BV NW;1865 CARRINGTON BV NW;1861 CARRINGTON BV NW;1853 CARRINGTON BV NW;1865 CARRINGTON BV NW;1857 CARRINGTON BV NW,"MULTIPOINT (-114.08953049326767 51.18619088673155,-114.08949248568261 51.18624934766606,-114.08945902365635 51.18629881559581,-114.08942101589224 51.18635727650611,-114.08958913477052 51.18630590765821,-114.08959950283382 51.186289844442655,-114.08958441619961 51.1863142355633,-114.08959101141212 51.18629996415088)","{""type"":""MultiPoint"",""coordinates"":[[-114.0895305,51.1861909],[-114.0894925,51.1862493],[-114.089459,51.1862988],[-114.089421,51.1863573],[-114.0895891,51.1863059],[-114.0895995,51.1862898],[-114.0895844,51.1863142],[-114.089591,51.1863]]}",POINT (-114.08953049326767 51.18619088673155),,,,CARRINGTON BV NW,1
BP2022-15650,Completed,2022-09-13,2022,2022-10-03,2023-08-31,2023,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,New 4 Unit Rowhouse,MATTAMY HOMES CALGARY,,MATTAMY (ABERDEEN HEIGHTS),4,"$831,983",,1327 148 AV NW,CAR,CARRINGTON,51.18709423,-114.0896699,4,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,1315 148 AV NW;1319 148 AV NW;1323 148 AV NW;1327 148 AV NW,"MULTIPOINT (-114.08966989583192 51.18709422633838,-114.089768960799 51.187112129407296,-114.08985268266916 51.18712554941802,-114.08996013577315 51.187138951125625)","{""type"":""MultiPoint"",""coordinates"":[[-114.0896699,51.1870942],[-114.089769,51.1871121],[-114.0898527,51.1871255],[-114.0899601,51.187139]]}",POINT (-114.08966989583192 51.18709422633838),,,,148 AV NW,1
BP2020-18705,Completed,2020-12-22,2020,2021-01-08,2022-02-14,2022,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,New Building - Brooklyn Townhouse Block 1,,TRICO HOMES,TRICO HOMES,6,"$1,403,443",,#21 1710 28 AV SW,SOC,SOUTH CALGARY,51.02869701,-114.1004774,7,Titled Parcel;Building;Building;Building;Building;Building;Building,1710 28 AV SW;#21 1710 28 AV SW;#25 1710 28 AV SW;#23 1710 28 AV SW;#26 1710 28 AV SW;#24 1710 28 AV SW;#22 1710 28 AV SW,"MULTIPOINT (-114.10047737561972 51.028697007716396,-114.10059358448514 51.02874140706076,-114.10059286818927 51.02893736647685,-114.10059717132134 51.028837603401286,-114.10059296997824 51.028984391825475,-114.10059276330664 51.028888911758614,-114.10059369246203 51.028791291149496)","{""type"":""MultiPoint"",""coordinates"":[[-114.1004774,51.028697],[-114.1005936,51.0287414],[-114.1005929,51.0289374],[-114.1005972,51.0288376],[-114.100593,51.0289844],[-114.1005928,51.0288889],[-114.1005937,51.0287913]]}",POINT (-114.10047737561972 51.028697007716396),"{""type"":""MultiPoint"",""coordinates"":[[-114.0646358,50.8602473],[-114.0645348,50.8594543],[-114.0645346,50.8592887],[-114.0645336,50.8593444],[-114.0645338,50.8595099],[-114.0645357,50.8592366],[-114.0645345,50.8591809],[-114.0645348,50.8594007]]}",POINT (-114.06463582177199 50.86024730573181),a,1710 28 AV SW,2
BP2022-03257,Completed,2022-03-04,2022,2022-04-11,2023-12-13,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,New 5 Unit Rowhouse (Bldg 4),GRAVITY ARCHITECTURE,,STREETSIDE DEVELOPMENT,5,"$1,093,615",,116 CREEKSIDE BV SW,PCK,PINE CREEK,50.86140545,-114.0591131,10,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building;Building;Building,120 CREEKSIDE BV SW;112 CREEKSIDE BV SW;100 CREEKSIDE BV SW;116 CREEKSIDE BV SW;104 CREEKSIDE BV SW;120 CREEKSIDE BV SW;112 CREEKSIDE BV SW;104 CREEKSIDE BV SW;116 CREEKSIDE BV SW;100 CREEKSIDE BV SW,"MULTIPOINT (-114.059113112242 50.861405450822126,-114.05910982248362 50.86152232271818,-114.05911048445995 50.861652677636684,-114.05911153838807 50.86146388673449,-114.05911082819021 50.86157626231421,-114.05894470568134 50.861509703326156,-114.05894565443282 50.86151862094449,-114.05894378916513 50.861526353301606,-114.05894471092923 50.86151386570165,-114.05894379891268 50.8615340847118)","{""type"":""MultiPoint"",""coordinates"":[[-114.0591131,50.8614055],[-114.0591098,50.8615223],[-114.0591105,50.8616527],[-114.0591115,50.8614639],[-114.0591108,50.8615763],[-114.0589447,50.8615097],[-114.0589457,50.8615186],[-114.0589438,50.8615264],[-114.0589447,50.8615139],[-114.0589438,50.8615341]]}",POINT (-114.059113112242 50.861405450822126),"{""type"":""MultiPoint"",""coordinates"":[[-114.0638294,50.8649226],[-114.0638951,50.8649225],[-114.0639557,50.8649225],[-114.0640225,50.8649225],[-114.0640266,50.8648273],[-114.0638997,50.8648285],[-114.0639598,50.8648279],[-114.0638349,50.864828]]}",POINT (-114.06382942135896 50.8649225578919),a,CREEKSIDE BV SW,3
BP2019-14721,Completed,2019-10-28,2019,2020-08-10,2022-09-06,2022,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,Hudson in Creekstone - Building 3,GRAVITY ARCHITECTURE,,STREETSIDE DEVELOPMENT,5,"$1,040,477",,64 CREEKSIDE BV SW,PCK,PINE CREEK,50.86202576,-114.0591084,5,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,72 CREEKSIDE BV SW;80 CREEKSIDE BV SW;68 CREEKSIDE BV SW;84 CREEKSIDE BV SW;64 CREEKSIDE BV SW,"MULTIPOINT (-114.05910838510181 50.86202576440991,-114.05911077433477 50.86197182309877,-114.05910963230019 50.862079703878976,-114.05910912087631 50.86189990380044,-114.05910942776865 50.86214263409938)","{""type"":""MultiPoint"",""coordinates"":[[-114.0591084,50.8620258],[-114.0591108,50.8619718],[-114.0591096,50.8620797],[-114.0591091,50.8618999],[-114.0591094,50.8621426]]}",POINT (-114.05910838510181 50.86202576440991),"{""type"":""MultiPoint"",""coordinates"":[[-114.1094966,51.0100531],[-114.1097127,51.0100608],[-114.1095415,51.0100676],[-114.1096305,51.0100613],[-114.1097963,51.0100616]]}",POINT (-114.10949657929051 51.01005310021835),a,CREEKSIDE BV SW,3
BP2021-18128,Completed,2021-10-19,2021,2021-12-02,2023-09-06,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,"6-Unit Residential Rowhouse - Building 2; located at 32, 40, 44, 48, 52, 56 CREEKSIDE BV SW.",GRAVITY ARCHITECTURE,,STREETSIDE DEVELOPMENT,6,"$1,366,718",,32 CREEKSIDE BV SW,PCK,PINE CREEK,50.86221456,-114.0591071,6,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,56 CREEKSIDE BV SW;52 CREEKSIDE BV SW;44 CREEKSIDE BV SW;40 CREEKSIDE BV SW;32 CREEKSIDE BV SW;48 CREEKSIDE BV SW,"MULTIPOINT (-114.05910706125762 50.86221455543048,-114.05910765219609 50.86227748524659,-114.05910722607672 50.86238986066668,-114.05910701017481 50.8624438008733,-114.05910680563855 50.86250673108975,-114.05910744197817 50.86233592045955)","{""type"":""MultiPoint"",""coordinates"":[[-114.0591071,50.8622146],[-114.0591077,50.8622775],[-114.0591072,50.8623899],[-114.059107,50.8624438],[-114.0591068,50.8625067],[-114.0591074,50.8623359]]}",POINT (-114.05910706125762 50.86221455543048),"{""type"":""MultiPoint"",""coordinates"":[[-113.9539349,51.1552067],[-113.9540612,51.1550531],[-113.9540567,51.1549665],[-113.9540567,51.1550074],[-113.9540642,51.1550893]]}",POINT (-113.95393489075505 51.155206657812485),a,CREEKSIDE BV SW,3
BP2022-07391,Completed,2022-05-04,2022,2022-06-16,2023-10-12,2023,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,Part 9.10.15. - Row House - Redstone Park Ph 8 - Building 17,NORR ARCHITECTS ENGINEERS PLANNERS,,STREETSIDE DEVELOPMENT,7,"$1,385,900",,#254 301 REDSTONE BV NE,RSN,REDSTONE,51.16948568,-113.9517441,14,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building;Building;Building;Building;Building,#256 301 REDSTONE BV NE;#254 301 REDSTONE BV NE;#258 301 REDSTONE BV NE;#260 301 REDSTONE BV NE;#266 301 REDSTONE BV NE;#262 301 REDSTONE BV NE;#264 301 REDSTONE BV NE;#254 301 REDSTONE BV NE;#264 301 REDSTONE BV NE;#260 301 REDSTONE BV NE;#258 301 REDSTONE BV NE;#266 301 REDSTONE BV NE;#256 301 REDSTONE BV NE;#262 301 REDSTONE BV NE,"MULTIPOINT (-113.95174407706922 51.16948567771907,-113.95174403818271 51.169440729998676,-113.95174408244013 51.16952163588452,-113.95174408312023 51.16956208881818,-113.95174409945953 51.16968344762338,-113.95174408849113 51.16959804698317,-113.95174408917119 51.169638499916296,-113.95189038517736 51.16944441305666,-113.95188733858026 51.169637668950784,-113.95189120455771 51.169563938328146,-113.95188841603739 51.169522899927934,-113.95188729588963 51.169678697196375,-113.95189128622785 51.16948544169171,-113.95189022246058 51.16960080403063)","{""type"":""MultiPoint"",""coordinates"":[[-113.9517441,51.1694857],[-113.951744,51.1694407],[-113.9517441,51.1695216],[-113.9517441,51.1695621],[-113.9517441,51.1696834],[-113.9517441,51.169598],[-113.9517441,51.1696385],[-113.9518904,51.1694444],[-113.9518873,51.1696377],[-113.9518912,51.1695639],[-113.9518884,51.1695229],[-113.9518873,51.1696787],[-113.9518913,51.1694854],[-113.9518902,51.1696008]]}",POINT (-113.95174407706922 51.16948567771907),"{""type"":""MultiPoint"",""coordinates"":[[-114.2059841,51.0798046],[-114.2053778,51.0795538],[-114.2055002,51.0794822],[-114.2053577,51.0794997],[-114.2055146,51.0795387]]}",POINT (-114.20598410641428 51.07980462833371),a,301 REDSTONE BV NE,4
BP2017-00766,Completed,2017-01-27,2017,2017-07-05,2018-06-06,2018,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,9.10.15. - 4 Unit Townhouse - Building 1,GRAVITY ARCHITECTURE,,,4,"$795,645",,214 REDSTONE BV NE,RSN,REDSTONE,51.16905378,-113.9507778,8,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building;Building;Building,226 REDSTONE BV NE;218 REDSTONE BV NE;222 REDSTONE BV NE;214 REDSTONE BV NE;214 REDSTONE BV NE;218 REDSTONE BV NE;226 REDSTONE BV NE;222 REDSTONE BV NE,"MULTIPOINT (-113.95077777678745 51.16905377717619,-113.95077776287344 51.16895938698349,-113.95077775792386 51.169004334689625,-113.95077776309333 51.16890544973326,-113.95067044712835 51.168908074426184,-113.95066797084915 51.16895069279936,-113.95066545201782 51.16904659216723,-113.9506679123848 51.16900549302063)","{""type"":""MultiPoint"",""coordinates"":[[-113.9507778,51.1690538],[-113.9507778,51.1689594],[-113.9507778,51.1690043],[-113.9507778,51.1689054],[-113.9506704,51.1689081],[-113.950668,51.1689507],[-113.9506655,51.1690466],[-113.9506679,51.1690055]]}",POINT (-113.95077777678745 51.16905377717619),"{""type"":""MultiPoint"",""coordinates"":[[-113.9397636,51.1642167],[-113.9391578,51.1644666],[-113.9390738,51.1644637],[-113.9392395,51.1644638],[-113.9389921,51.1644666]]}",POINT (-113.93976364500418 51.16421674389641),a,REDSTONE BV NE,4
